총_유동인구_수,총_상주인구_수,총_직장_인구_수,운영_영업_개월_평균,폐업_영업_개월_평균,당월_매출_금액,점포수,임대료,공실률
29358,1198,230,85,38,527098287,12,30.4,5
102870,3820,235,69,51,632890998,40,30.4,5
212359,688,171,101,47,9428178990,187,30.4,5
100161,2531,445,73,40,1645715314,71,30.4,5
195956,1047,522,98,40,17696426605,300,30.4,5
276010,4408,225,82,39,3531000824,192,30.4,5
184212,2233,102,80,39,1475145874,46,30.4,5
108877,1881,206,88,39,4493684174,91,30.4,5
95480,2292,557,88,40,4571040243,137,30.4,5
109992,2288,85,80,50,3845845391,136,30.4,5
70732,1258,225,87,41,1671672428,91,30.4,5
102925,878,317,81,39,4327793303,125,52.3,1.5
270096,599,398,92,44,25770553798,331,52.3,1.5
383819,2482,1518,89,45,11242241074,255,52.3,1.5
190315,1364,1292,93,39,12995367015,119,52.3,1.5
76828,1882,160,107,41,1315127424,45,52.3,1.5
100199,2196,236,78,35,1138617123,51,52.3,1.5
379454,970,675,92,48,5490559281,92,52.3,1.5
212577,1428,230,89,45,3611224885,67,52.3,1.5
120203,3050,479,80,45,3254421835,50,52.3,1.5
320121,3038,790,86,46,6370246768,109,52.3,1.5
75105,928,1801,85,45,4095523963,144,52.3,1.5
152317,4722,242,110,58,276658739,14,52.3,1.5
272872,2796,2076,75,41,2133574429,85,52.3,1.5
516577,702,4260,85,45,33891326072,384,52.3,1.5
1031448,1956,3036,82,43,32988972820,431,29.5,6.4
379770,2949,5818,94,41,4789663455,90,29.5,6.4
121720,1410,11036,95,39,7117862165,109,29.5,6.4
554628,894,1797,87,43,11664541611,158,29.5,6.4
90964,1084,512,97,43,2470421415,45,29.5,6.4
283239,1194,1474,82,43,4919377038,94,29.5,6.4
339156,1022,675,112,48,37427550979,553,29.5,6.4
660449,1676,7835,101,42,11334235327,148,29.5,6.4
114818,799,709,93,39,4312877009,110,29.5,6.4
798905,3364,9774,90,41,27929320393,457,29.5,6.4
225400,71,10956,86,51,6897284297,74,29.5,6.4
344192,60,4450,86,42,9072794627,152,29.5,6.4
345210,1110,1564,109,44,7060954527,107,29.5,6.4
1898418,3154,6649,86,41,1.42E+11,1123,29.5,6.4
1013125,520,4800,86,49,32469857143,389,29.5,6.4
812578,1569,10410,86,41,22752798116,411,29.5,6.4
221424,1886,209,87,35,6261371810,108,29.5,6.4
1060726,2028,3225,86,40,27920602062,504,29.5,6.4
1308732,2413,136211,75,40,43340908252,653,29.5,6.4
1491757,1393,13593,86,42,71829412598,1041,29.5,6.4
221976,670,63,91,48,4190437070,67,41.4,9.5
308311,1356,262,87,40,4193715379,141,41.4,9.5
247084,1526,763,85,48,3853889899,89,41.4,9.5
424727,1262,890,73,40,4724054793,124,41.4,9.5
856707,437,4894,92,43,49028870819,762,41.4,9.5
227524,2322,673,85,47,6740228115,185,41.4,9.5
149999,1204,25,87,46,1962679652,48,41.4,9.5
379377,566,287,90,49,21175165051,272,41.4,9.5
250041,255,64,86,44,11703106052,128,41.4,9.5
208398,1143,2881,92,59,2784105767,46,41.4,9.5
110061,1625,564,93,49,1448490861,35,41.4,9.5
199095,826,2651,81,44,12340460616,146,41.4,9.5
246932,1732,347,83,45,977244720,52,58.6,6.8
160734,1010,230,85,38,3656063709,155,58.6,6.8
200580,292,461,114,54,14391680917,307,58.6,6.8
114523,706,151,86,50,3230610428,118,58.6,6.8
98243,974,27,113,44,426368318,41,58.6,6.8
215591,1260,177,95,37,3812688535,150,58.6,6.8
1254559,814,3838,83,44,45545178074,642,58.6,6.8
205406,488,44,70,34,1969513132,71,58.6,6.8
194943,748,124,89,35,2726745319,142,58.6,6.8
136713,1839,761,76,36,1582501084,92,58.6,6.8
179146,1240,163,76,33,1057327096,46,58.6,6.8
14811,17,143,102,33,344889757,16,58.6,6.8
73660,316,50,93,50,4570024382,104,58.6,6.8
237635,203,50,103,45,13211090059,287,58.6,6.8
3557784,979,2694,91,48,1.24E+11,1937,60.2,7.7
1137979,701,1239,95,41,49778261708,1274,60.2,7.7
291022,2519,421,102,33,2607302843,86,33.3,12.7
404157,2308,240,88,45,6520004879,109,33.3,12.7
338769,1319,2,86,45,1419962467,23,33.3,12.7
291863,1762,1656,121,50,4526937076,185,33.3,12.7
